Source,Target,values
Loyal Purchaser,Slipping q4,50
Loyal Purchaser,Affluent q4,555
Faithful,Affluent q4,157
Top Tier,Top Tier q4,235
Affluent,Slipping q4,7
Faithful,Loyal Purchaser q4,75
Not Previously Purchased,Faithful q4,100
Faithful,Faithful q4,2322
Affluent,Loyal Purchaser q4,43
Loyal Purchaser,Top Tier q4,41
Not Previously Purchased,Affluent q4,8
Not Previously Purchased,Top Tier q4,5
Affluent,Top Tier q4,128
Faithful,Slipping q4,397
Loyal Purchaser,Loyal Purchaser q4,298
Affluent,Affluent q4,385
Not Previously Purchased,Loyal Purchaser q4,17
Loyal Purchaser,Faithful q4,69
